CÓDIGO HORÁRIO;DESCRIÇÃO HORÁRIO;ID SCRIPT;INICIO;TERMINO
2129;22:00 23:48 00:03 04:00;22:0004:00;22:00;04:00
2130;22:00 00:05 00:20 04:00;22:0004:00;22:00;04:00
2203;22:00 00:20 00:35 04:00;22:0004:00;22:00;04:00
2138;22:00 00:10 00:25 04:00;22:0004:00;22:00;04:00
2135;22:00 23:50 00:05 04:00;22:0004:00;22:00;04:00
2166;22:00 00:25 00:40 04:00;22:0004:00;22:00;04:00
2169;22:00 01:35 01:50 04:00;22:0004:00;22:00;04:00
2172;22:00 01:10 01:25 04:00;22:0004:00;22:00;04:00
2168;22:00 00:00 00:15 04:00;22:0004:00;22:00;04:00
2137;22:00 23:55 00:10 04:00;22:0004:00;22:00;04:00
741;22:00 00:45 01:00 04:00;22:0004:00;22:00;04:00
283;04:00 06:20 06:35 10:00;04:0010:00;04:00;10:00
347;04:00 06:35 06:50 10:00;04:0010:00;04:00;10:00
816;04:00 05:48 06:03 10:00;04:0010:00;04:00;10:00
1087;08:00 AS 14:00;08:0014:00;08:00;14:00
1931;12:00 13:48 14:03 18:00;12:0018:00;12:00;18:00
1092;12:00 AS 18:00;12:0018:00;12:00;18:00
232;12:00 15:40 15:55 18:00;12:0018:00;12:00;18:00
1099;16:00 AS 22:00;16:0022:00;16:00;22:00
24;12:00 13:55 14:10 18:00;12:0018:00;12:00;18:00
9999;DSR;;;
287;12:00 14:50 15:05 18:00;12:0018:00;12:00;18:00
239;05:00 07:00 08:00 13:00;05:0013:00;05:00;13:00
583;05:00 08:45 09:45 13:00;05:0013:00;05:00;13:00
584;05:00 09:15 10:15 13:00;05:0013:00;05:00;13:00
65;05:00 10:00 11:00 13:00;05:0013:00;05:00;13:00
625;05:00 08:50 09:50 13:00;05:0013:00;05:00;13:00
107;05:00 09:45 10:45 13:00;05:0013:00;05:00;13:00
67;05:00 09:20 10:20 13:00;05:0013:00;05:00;13:00
5360;05:00 09:00 10:00 13:00;05:0013:00;05:00;13:00
113;05:00 09:40 10:40 13:00;05:0013:00;05:00;13:00
137;16:00 18:00 19:00 00:00;16:0000:00;16:00;00:00
1990;08:00 10:00 11:00 16:00;08:0016:00;08:00;16:00
231;16:00 20:50 21:50 00:00;16:0000:00;16:00;00:00
35;16:00 18:20 19:20 00:00;16:0000:00;16:00;00:00
136;16:00 18:55 19:55 00:00;16:0000:00;16:00;00:00
225;16:00 19:20 20:20 00:00;16:0000:00;16:00;00:00
230;16:00 18:40 19:40 00:00;16:0000:00;16:00;00:00
183;16:00 19:35 20:35 00:00;16:0000:00;16:00;00:00
142;16:00 18:25 19:25 00:00;16:0000:00;16:00;00:00
349;16:00 20:10 21:10 00:00;16:0000:00;16:00;00:00
150;16:00 20:40 21:40 00:00;16:0000:00;16:00;00:00
1342;14:00 16:00 17:00 22:00;14:0022:00;14:00;22:00
521;16:00 21:00 22:00 00:00;16:0000:00;16:00;00:00
76;12:00 15:35 15:50 18:00;12:0018:00;12:00;18:00
261;12:00 14:25 14:40 18:00;12:0018:00;12:00;18:00
280;12:00 14:20 14:35 18:00;12:0018:00;12:00;18:00
340;12:00 14:10 14:25 18:00;12:0018:00;12:00;18:00
29;12:00 14:05 14:20 18:00;12:0018:00;12:00;18:00
27;12:00 15:55 16:10 18:00;12:0018:00;12:00;18:00
86;12:00 14:35 14:50 18:00;12:0018:00;12:00;18:00
84;12:00 15:50 16:05 18:00;12:0018:00;12:00;18:00
2136;22:00 01:15 01:30 04:00;22:0004:00;22:00;04:00
2167;22:00 01:55 02:10 04:00;22:0004:00;22:00;04:00
2140;22:00 00:50 01:05 04:00;22:0004:00;22:00;04:00
2139;22:00 00:30 00:45 04:00;22:0004:00;22:00;04:00
2141;22:00 01:45 02:00 04:00;22:0004:00;22:00;04:00
4424;10:00 11:00 12:00 16:00;10:0016:00;10:00;16:00
103;18:00 20:15 20:30 00:00;18:0000:00;18:00;00:00
2570;14:00 15:00 16:00 20:00;14:0020:00;14:00;20:00
14;18:00 21:30 21:45 00:00;18:0000:00;18:00;00:00
1836;18:00 19:48 20:03 00:00;18:0000:00;18:00;00:00
783;18:00 20:55 21:10 00:00;18:0000:00;18:00;00:00
94;18:00 21:00 21:15 00:00;18:0000:00;18:00;00:00
11;18:00 21:10 21:25 00:00;18:0000:00;18:00;00:00
95;18:00 21:20 21:35 00:00;18:0000:00;18:00;00:00
10;18:00 19:55 20:10 00:00;18:0000:00;18:00;00:00
89;18:00 21:15 21:30 00:00;18:0000:00;18:00;00:00
12;18:00 21:45 22:00 00:00;18:0000:00;18:00;00:00
1389;18:00 20:50 21:05 00:00;18:0000:00;18:00;00:00
101;18:00 20:00 20:15 00:00;18:0000:00;18:00;00:00
151;05:00 06:48 07:03 11:00;05:0011:00;05:00;11:00
709;05:00 08:05 08:20 11:00;05:0011:00;05:00;11:00
172;05:00 08:25 08:40 11:00;05:0011:00;05:00;11:00
325;05:00 08:30 08:45 11:00;05:0011:00;05:00;11:00
669;05:00 08:25 08:40 11:00;05:0011:00;05:00;11:00
611;05:00 07:05 07:20 11:00;05:0011:00;05:00;11:00
666;05:00 06:50 07:05 11:00;05:0011:00;05:00;11:00
2133;22:00 01:05 01:20 04:00;22:0004:00;22:00;04:00
2127;22:00 00:15 00:30 04:00;22:0004:00;22:00;04:00
2171;22:00 01:00 01:15 04:00;22:0004:00;22:00;04:00
860;06:00 07:48 08:03 12:00;06:0012:00;06:00;12:00
350;06:00 09:40 09:55 12:00;06:0012:00;06:00;12:00
49;06:00 09:10 09:25 12:00;06:0012:00;06:00;12:00
51;06:00 09:15 09:30 12:00;06:0012:00;06:00;12:00
274;06:00 08:55 09:10 12:00;06:0012:00;06:00;12:00
275;06:00 08:35 08:50 12:00;06:0012:00;06:00;12:00
405;06:00 09:25 09:40 12:00;06:0012:00;06:00;12:00
352;06:00 09:20 09:35 12:00;06:0012:00;06:00;12:00
862;06:00 08:05 08:20 12:00;06:0012:00;06:00;12:00
839;04:00 06:00 07:00 12:00;04:0012:00;04:00;12:00
241;06:00 08:00 09:00 14:00;06:0014:00;06:00;14:00
1150;06:00 AS 14:00;06:0014:00;06:00;14:00
227;06:00 10:05 11:05 14:00;06:0014:00;06:00;14:00
413;06:00 10:40 11:40 14:00;06:0014:00;06:00;14:00
2048;20:00 22:00 23:00 04:00;20:0004:00;20:00;04:00
2526;22:00 00:00 01:00 06:00;22:0006:00;22:00;06:00
2036;20:00 23:20 00:20 04:00;20:0004:00;20:00;04:00
2045;20:00 01:00 02:00 04:00;20:0004:00;20:00;04:00
2044;20:00 23:45 00:45 04:00;20:0004:00;20:00;04:00
2054;20:00 00:30 01:30 04:00;20:0004:00;20:00;04:00
3957;20:00 00:50 01:50 04:00;20:0004:00;20:00;04:00
2183;20:00 23:35 00:35 04:00;20:0004:00;20:00;04:00
5363;20:00 00:00 01:00 04:00;20:0004:00;20:00;04:00
1296;20:00 AS 04:00;20:0004:00;20:00;04:00
1333;12:00 AS 18:00;12:0018:00;12:00;18:00
341;12:00 15:10 15:25 18:00;12:0018:00;12:00;18:00
83;12:00 14:15 14:30 18:00;12:0018:00;12:00;18:00
88;12:00 15:05 15:20 18:00;12:0018:00;12:00;18:00
